EventId,Event,Date,EventType,Class,Season,AthleteId,Ranking,TimeBehindSeconds,CourseTimeSeconds,MissesProne,MissesStanding,MissesShooting1,MissesShooting2,MissesShooting3,MissesShooting4,RangeTimeProne,RangeTimeStanding
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,2118153,1,0.000,1368.165,0,0,0,0,NULL,NULL,48.246,46.048
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,679924,2,19.600,1333.231,0,2,0,2,NULL,NULL,56.109,47.730
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,3687444,3,22.400,1363.092,1,0,1,0,NULL,NULL,52.470,47.296
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,674457,4,43.700,1386.010,0,1,0,1,NULL,NULL,53.485,42.796
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,356854,5,58.300,1402.442,0,1,0,1,NULL,NULL,47.796,46.607
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,826757,6,70.000,1408.756,1,0,1,0,NULL,NULL,52.476,46.300
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,2269734,7,70.700,1432.698,0,0,0,0,NULL,NULL,48.985,50.359
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,1562650,8,76.000,1434.682,0,0,0,0,NULL,NULL,49.734,52.923
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,3849463,9,79.700,1373.191,2,1,2,1,NULL,NULL,50.294,48.954
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,415168,10,84.900,1440.777,0,0,0,0,NULL,NULL,57.105,48.269
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,431544,11,101.200,1443.327,0,1,0,1,NULL,NULL,48.107,48.044
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,691644,12,103.700,1406.675,2,0,2,0,NULL,NULL,58.830,52.174
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,4105154,13,112.600,1412.349,1,1,1,1,NULL,NULL,60.173,53.484
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,694620,14,113.900,1426.328,1,0,1,0,NULL,NULL,68.301,55.632
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,1948946,15,117.100,1384.654,1,3,1,3,NULL,NULL,56.648,43.420
68202,"ASKO CUP Geilo, Sprint lørdag",2023-11-25,Sprint,M Senior,2023,3750283,16,120.000,1380.676,1,3,1,3,NULL,NULL,55.967,52.323
